Label (Grouping),ZCTA5 64014!!Estimate,ZCTA5 64014!!Percent,ZCTA5 64015!!Estimate,ZCTA5 64015!!Percent,ZCTA5 64016!!Estimate,ZCTA5 64016!!Percent,ZCTA5 64029!!Estimate,ZCTA5 64029!!Percent,ZCTA5 64030!!Estimate,ZCTA5 64030!!Percent,ZCTA5 64034!!Estimate,ZCTA5 64034!!Percent,ZCTA5 64050!!Estimate,ZCTA5 64050!!Percent,ZCTA5 64052!!Estimate,ZCTA5 64052!!Percent,ZCTA5 64053!!Estimate,ZCTA5 64053!!Percent,ZCTA5 64054!!Estimate,ZCTA5 64054!!Percent,ZCTA5 64055!!Estimate,ZCTA5 64055!!Percent,ZCTA5 64056!!Estimate,ZCTA5 64056!!Percent,ZCTA5 64057!!Estimate,ZCTA5 64057!!Percent,ZCTA5 64058!!Estimate,ZCTA5 64058!!Percent,ZCTA5 64063!!Estimate,ZCTA5 64063!!Percent,ZCTA5 64064!!Estimate,ZCTA5 64064!!Percent,ZCTA5 64070!!Estimate,ZCTA5 64070!!Percent,ZCTA5 64075!!Estimate,ZCTA5 64075!!Percent,ZCTA5 64081!!Estimate,ZCTA5 64081!!Percent,ZCTA5 64082!!Estimate,ZCTA5 64082!!Percent,ZCTA5 64086!!Estimate,ZCTA5 64086!!Percent,ZCTA5 64088!!Estimate,ZCTA5 64088!!Percent,ZCTA5 64101!!Estimate,ZCTA5 64101!!Percent,ZCTA5 64102!!Estimate,ZCTA5 64102!!Percent,ZCTA5 64105!!Estimate,ZCTA5 64105!!Percent,ZCTA5 64106!!Estimate,ZCTA5 64106!!Percent,ZCTA5 64108!!Estimate,ZCTA5 64108!!Percent,ZCTA5 64109!!Estimate,ZCTA5 64109!!Percent,ZCTA5 64110!!Estimate,ZCTA5 64110!!Percent,ZCTA5 64111!!Estimate,ZCTA5 64111!!Percent,ZCTA5 64112!!Estimate,ZCTA5 64112!!Percent,ZCTA5 64113!!Estimate,ZCTA5 64113!!Percent,ZCTA5 64114!!Estimate,ZCTA5 64114!!Percent,ZCTA5 64120!!Estimate,ZCTA5 64120!!Percent,ZCTA5 64123!!Estimate,ZCTA5 64123!!Percent,ZCTA5 64124!!Estimate,ZCTA5 64124!!Percent,ZCTA5 64125!!Estimate,ZCTA5 64125!!Percent,ZCTA5 64126!!Estimate,ZCTA5 64126!!Percent,ZCTA5 64127!!Estimate,ZCTA5 64127!!Percent,ZCTA5 64128!!Estimate,ZCTA5 64128!!Percent,ZCTA5 64129!!Estimate,ZCTA5 64129!!Percent,ZCTA5 64130!!Estimate,ZCTA5 64130!!Percent,ZCTA5 64131!!Estimate,ZCTA5 64131!!Percent,ZCTA5 64132!!Estimate,ZCTA5 64132!!Percent,ZCTA5 64133!!Estimate,ZCTA5 64133!!Percent,ZCTA5 64134!!Estimate,ZCTA5 64134!!Percent,ZCTA5 64136!!Estimate,ZCTA5 64136!!Percent,ZCTA5 64137!!Estimate,ZCTA5 64137!!Percent,ZCTA5 64138!!Estimate,ZCTA5 64138!!Percent,ZCTA5 64139!!Estimate,ZCTA5 64139!!Percent,ZCTA5 64145!!Estimate,ZCTA5 64145!!Percent,ZCTA5 64146!!Estimate,ZCTA5 64146!!Percent,ZCTA5 64147!!Estimate,ZCTA5 64147!!Percent
HOUSEHOLDS BY TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total households,"10,588","10,588","12,363","12,363","1,738","1,738","7,550","7,550","11,113","11,113","3,139","3,139","9,494","9,494","9,476","9,476","2,492","2,492","1,254","1,254","15,790","15,790","6,158","6,158","6,198","6,198","2,389","2,389","8,685","8,685","7,448","7,448","1,151","1,151","4,274","4,274","9,958","9,958","6,415","6,415","9,155","9,155",458,458,65,65,0,0,"4,052","4,052","5,340","5,340","5,069","5,069","4,696","4,696","7,620","7,620","10,661","10,661","4,921","4,921","4,753","4,753","12,779","12,779",297,297,"3,890","3,890","3,800","3,800",638,638,"2,056","2,056","7,279","7,279","5,241","5,241","3,457","3,457","8,574","8,574","9,697","9,697","4,828","4,828","15,369","15,369","8,878","8,878",707,707,"4,431","4,431","10,290","10,290",730,730,"2,038","2,038",730,730,165,165
        Married-couple household,"5,861",55.40%,"6,659",53.90%,972,55.90%,"4,251",56.30%,"3,530",31.80%,"2,335",74.40%,"2,789",29.40%,"3,146",33.20%,721,28.90%,561,44.70%,"6,601",41.80%,"3,189",51.80%,"2,928",47.20%,"1,145",47.90%,"4,102",47.20%,"4,589",61.60%,902,78.40%,"2,423",56.70%,"5,469",54.90%,"4,548",70.90%,"5,535",60.50%,287,62.70%,0,0.00%,0,-,529,13.10%,739,13.80%,934,18.40%,"1,219",26.00%,"1,997",26.20%,"1,807",16.90%,"1,500",30.50%,"3,220",67.70%,"4,654",36.40%,36,12.10%,"1,452",37.30%,"1,406",37.00%,271,42.50%,665,32.30%,"1,557",21.40%,830,15.80%,"1,114",32.20%,"1,757",20.50%,"2,792",28.80%,811,16.80%,"5,764",37.50%,"2,927",33.00%,198,28.00%,"1,612",36.40%,"3,670",35.70%,405,55.50%,"1,084",53.20%,261,35.80%,9,5.50%
            With children of the householder under 18 years,"2,328",22.00%,"2,693",21.80%,351,20.20%,"2,167",28.70%,"1,450",13.00%,829,26.40%,880,9.30%,"1,028",10.80%,258,10.40%,213,17.00%,"2,206",14.00%,"1,043",16.90%,702,11.30%,475,19.90%,"1,568",18.10%,"1,784",24.00%,294,25.50%,788,18.40%,"2,241",22.50%,"2,350",36.60%,"2,409",26.30%,84,18.30%,0,0.00%,0,-,47,1.20%,169,3.20%,199,3.90%,644,13.70%,965,12.70%,450,4.20%,251,5.10%,"1,491",31.40%,"1,499",11.70%,19,6.40%,785,20.20%,815,21.40%,163,25.50%,315,15.30%,810,11.10%,312,6.00%,359,10.40%,442,5.20%,"1,116",11.50%,182,3.80%,"2,259",14.70%,961,10.80%,55,7.80%,677,15.30%,"1,327",12.90%,248,34.00%,321,15.80%,66,9.00%,0,0.00%
        Cohabiting couple household,683,6.50%,651,5.30%,107,6.20%,556,7.40%,536,4.80%,230,7.30%,787,8.30%,"1,225",12.90%,196,7.90%,91,7.30%,"1,412",8.90%,402,6.50%,449,7.20%,126,5.30%,689,7.90%,333,4.50%,80,7.00%,319,7.50%,655,6.60%,281,4.40%,568,6.20%,40,8.70%,0,0.00%,0,-,367,9.10%,335,6.30%,430,8.50%,455,9.70%,598,7.80%,918,8.60%,265,5.40%,256,5.40%,"1,037",8.10%,32,10.80%,241,6.20%,296,7.80%,60,9.40%,254,12.40%,461,6.30%,336,6.40%,265,7.70%,662,7.70%,792,8.20%,486,10.10%,"1,116",7.30%,805,9.10%,36,5.10%,183,4.10%,928,9.00%,124,17.00%,142,7.00%,33,4.50%,0,0.00%
            With children of the householder under 18 years,203,1.90%,167,1.40%,25,1.40%,238,3.20%,265,2.40%,104,3.30%,283,3.00%,389,4.10%,84,3.40%,43,3.40%,441,2.80%,202,3.30%,106,1.70%,88,3.70%,328,3.80%,121,1.60%,14,1.20%,118,2.80%,283,2.80%,111,1.70%,128,1.40%,39,8.50%,0,0.00%,0,-,0,0.00%,50,0.90%,15,0.30%,20,0.40%,66,0.90%,110,1.00%,0,0.00%,11,0.20%,135,1.10%,0,0.00%,79,2.00%,111,2.90%,41,6.40%,126,6.10%,172,2.40%,118,2.30%,203,5.90%,336,3.90%,151,1.60%,229,4.70%,307,2.00%,310,3.50%,0,0.00%,0,0.00%,158,1.50%,55,7.50%,7,0.30%,0,0.00%,0,0.00%
"        Male householder, no spouse/partner present","1,121",10.60%,"2,186",17.70%,178,10.20%,945,12.50%,"2,842",25.60%,200,6.40%,"2,478",26.10%,"2,401",25.30%,720,28.90%,245,19.50%,"3,005",19.00%,566,9.20%,"1,046",16.90%,426,17.80%,"1,607",18.50%,755,10.10%,76,6.60%,800,18.70%,950,9.50%,541,8.40%,"1,505",16.40%,95,20.70%,33,50.80%,0,-,"1,684",41.60%,"2,162",40.50%,"1,500",29.60%,"1,235",26.30%,"2,162",28.40%,"4,134",38.80%,"1,515",30.80%,477,10.00%,"2,382",18.60%,187,63.00%,"1,045",26.90%,"1,153",30.30%,97,15.20%,473,23.00%,"1,629",22.40%,"1,457",27.80%,711,20.60%,"2,261",26.40%,"2,313",23.90%,"1,126",23.30%,"3,256",21.20%,"1,906",21.50%,191,27.00%,"1,047",23.60%,"1,975",19.20%,37,5.10%,258,12.70%,183,25.10%,15,9.10%
            With children of the householder under 18 years,146,1.40%,185,1.50%,38,2.20%,35,0.50%,153,1.40%,11,0.40%,111,1.20%,109,1.20%,0,0.00%,0,0.00%,274,1.70%,60,1.00%,111,1.80%,79,3.30%,242,2.80%,70,0.90%,4,0.30%,65,1.50%,187,1.90%,71,1.10%,87,1.00%,16,3.50%,0,0.00%,0,-,0,0.00%,0,0.00%,22,0.40%,8,0.20%,58,0.80%,7,0.10%,56,1.10%,51,1.10%,63,0.50%,0,0.00%,12,0.30%,0,0.00%,0,0.00%,0,0.00%,85,1.20%,64,1.20%,33,1.00%,68,0.80%,109,1.10%,28,0.60%,155,1.00%,188,2.10%,0,0.00%,43,1.00%,77,0.70%,0,0.00%,18,0.90%,60,8.20%,15,9.10%
            Householder living alone,855,8.10%,"1,705",13.80%,133,7.70%,810,10.70%,"1,972",17.70%,131,4.20%,"1,725",18.20%,"1,944",20.50%,575,23.10%,199,15.90%,"2,303",14.60%,333,5.40%,881,14.20%,166,6.90%,959,11.00%,655,8.80%,63,5.50%,518,12.10%,717,7.20%,298,4.60%,"1,233",13.50%,52,11.40%,33,50.80%,0,-,"1,504",37.10%,"1,906",35.70%,"1,207",23.80%,994,21.20%,"1,579",20.70%,"3,424",32.10%,"1,214",24.70%,312,6.60%,"1,857",14.50%,148,49.80%,864,22.20%,874,23.00%,82,12.90%,318,15.50%,"1,299",17.80%,"1,149",21.90%,621,18.00%,"1,897",22.10%,"1,824",18.80%,851,17.60%,"2,559",16.70%,"1,125",12.70%,143,20.20%,868,19.60%,"1,523",14.80%,28,3.80%,174,8.50%,123,16.80%,0,0.00%
                65 years and over,218,2.10%,615,5.00%,39,2.20%,106,1.40%,306,2.80%,35,1.10%,567,6.00%,518,5.50%,119,4.80%,105,8.40%,850,5.40%,89,1.40%,317,5.10%,73,3.10%,197,2.30%,195,2.60%,7,0.60%,123,2.90%,220,2.20%,88,1.40%,299,3.30%,6,1.30%,0,0.00%,0,-,48,1.20%,169,3.20%,126,2.50%,110,2.30%,307,4.00%,571,5.40%,267,5.40%,112,2.40%,466,3.60%,14,4.70%,90,2.30%,156,4.10%,11,1.70%,43,2.10%,439,6.00%,366,7.00%,189,5.50%,480,5.60%,413,4.30%,272,5.60%,558,3.60%,376,4.20%,51,7.20%,226,5.10%,273,2.70%,0,0.00%,56,2.70%,8,1.10%,0,0.00%
