Zip Code,Males Widowed,Males Divorced,Females Widowed,Females Divorced,High school graduate or higher,Bachelor's degree or higher,Civilian veterans,With a disability,Unemployment Rate,With health insurance coverage, With private health insurance,With public coverage,No health insurance coverage,Percent People in Poverty,Median household income (dollars),Mean household income (dollars),FATAL OVERDOSE BY ZIP CODE
64014,0.027,0.066,0.061,0.158,0.956,0.349,0.085,0.105,0.045,0.921,0.794,0.225,0.079,0.072,83205,106793,19
64015,0.025,0.106,0.078,0.143,0.958,0.329,0.095,0.105,0.04,0.922,0.781,0.273,0.078,0.06,79973,100001,31
64016,0.029,0.086,0.051,0.203,0.893,0.241,0.07,0.17,0.032,0.883,0.647,0.357,0.117,0.075,86543,93709,2
64029,0.004,0.107,0.078,0.143,0.962,0.299,0.053,0.101,0.021,0.955,0.827,0.194,0.045,0.071,88169,107900,11
64030,0.025,0.124,0.093,0.153,0.907,0.236,0.07,0.141,0.065,0.827,0.574,0.358,0.173,0.153,50873,64334,36
64034,0.006,0.067,0.026,0.094,0.966,0.401,0.089,0.076,0.02,0.974,0.915,0.161,0.026,0.025,114688,135191,13
64050,0.064,0.21,0.147,0.198,0.89,0.128,0.092,0.204,0.065,0.879,0.602,0.386,0.121,0.18,43208,63851,37
64052,0.022,0.168,0.062,0.175,0.883,0.154,0.085,0.166,0.048,0.803,0.509,0.38,0.197,0.183,52789,60360,52
64053,0.034,0.092,0.085,0.152,0.775,0.105,0.098,0.199,0.089,0.797,0.476,0.401,0.203,0.316,42101,65146,8
64054,0.021,0.164,0.062,0.183,0.812,0.163,0.081,0.197,0.072,0.848,0.468,0.427,0.152,0.099,48039,60272,8
64055,0.039,0.135,0.128,0.152,0.916,0.219,0.071,0.142,0.053,0.887,0.69,0.34,0.113,0.115,66447,77247,55
64056,0.016,0.119,0.089,0.134,0.9,0.188,0.069,0.136,0.067,0.861,0.628,0.325,0.139,0.196,68333,81685,13
64057,0.038,0.111,0.141,0.141,0.934,0.271,0.094,0.15,0.087,0.936,0.741,0.364,0.064,0.044,70644,88691,15
64058,0.073,0.155,0.145,0.176,0.907,0.172,0.064,0.143,0.021,0.922,0.723,0.313,0.078,0.085,75494,83707,7
64063,0.03,0.086,0.05,0.171,0.956,0.347,0.085,0.101,0.078,0.923,0.748,0.26,0.077,0.128,76437,91669,13
64064,0.02,0.092,0.075,0.141,0.987,0.534,0.072,0.08,0.021,0.958,0.833,0.254,0.042,0.062,114231,139380,8
64070,0.016,0.062,0.034,0.065,0.968,0.393,0.132,0.079,0.011,0.953,0.864,0.236,0.047,0.047,111510,125260,5
64075,0.023,0.147,0.082,0.126,0.897,0.193,0.059,0.144,0.048,0.913,0.721,0.296,0.087,0.103,83125,97350,16
64081,0.037,0.063,0.107,0.135,0.98,0.504,0.077,0.104,0.023,0.965,0.873,0.236,0.035,0.018,100432,128055,9
64082,0.01,0.08,0.058,0.1,0.983,0.56,0.07,0.079,0.033,0.975,0.9,0.162,0.025,0.023,133533,152542,4
64086,0.021,0.085,0.053,0.118,0.959,0.483,0.069,0.08,0.028,0.929,0.831,0.198,0.071,0.032,107677,128470,18
64088,0.03,0.108,0.028,0.096,0.93,0.163,0.049,0.091,0.016,0.913,0.755,0.237,0.087,0.035,76797,87731,1
64101,0,0.062,0,0,0.948,0.416,0.018,0,0,1,0.754,0.246,0,0.246,NULL,55742,1
64105,0.003,0.101,0.021,0.181,0.985,0.697,0.027,0.076,0.047,0.931,0.863,0.1,0.069,0.113,62935,83063,7
64106,0.004,0.162,0.019,0.148,0.896,0.439,0.044,0.132,0.056,0.882,0.55,0.392,0.118,0.365,52576,72015,22
64108,0.013,0.149,0.07,0.138,0.907,0.495,0.039,0.12,0.041,0.907,0.694,0.295,0.093,0.269,68836,98291,26
64109,0.006,0.099,0.067,0.115,0.866,0.363,0.042,0.131,0.023,0.831,0.579,0.316,0.169,0.267,43456,69515,36
64110,0.022,0.056,0.057,0.135,0.951,0.49,0.037,0.12,0.037,0.907,0.761,0.213,0.093,0.204,55726,80574,25
64111,0.008,0.116,0.056,0.155,0.961,0.665,0.029,0.089,0.029,0.918,0.803,0.181,0.082,0.134,60330,84478,35
64112,0.009,0.093,0.047,0.101,0.983,0.759,0.049,0.069,0.011,0.95,0.822,0.219,0.05,0.132,91438,140745,10
64113,0.018,0.054,0.062,0.085,1,0.848,0.047,0.045,0.013,0.984,0.914,0.174,0.016,0.016,176006,220032,1
64114,0.028,0.097,0.08,0.174,0.976,0.544,0.057,0.11,0.025,0.932,0.809,0.271,0.068,0.057,75207,91489,13
64120,0,0.169,0,0.1,0.81,0.472,0.054,0.112,0.055,0.666,0.538,0.148,0.334,0.157,94659,83508,8
64123,0.073,0.113,0.063,0.118,0.753,0.184,0.042,0.122,0.046,0.792,0.509,0.331,0.208,0.168,42976,59780,33
64124,0.022,0.127,0.063,0.092,0.691,0.184,0.03,0.152,0.039,0.663,0.345,0.353,0.337,0.297,39885,50653,35
64125,0.015,0.08,0.098,0.065,0.629,0.084,0.021,0.148,0.084,0.682,0.277,0.464,0.318,0.411,39135,56539,9
64126,0.017,0.232,0.067,0.111,0.668,0.057,0.047,0.131,0.063,0.685,0.36,0.362,0.315,0.249,31952,41309,19
64127,0.023,0.147,0.103,0.188,0.731,0.081,0.037,0.189,0.13,0.717,0.35,0.444,0.283,0.328,32928,43395,64
64128,0.037,0.154,0.143,0.191,0.838,0.095,0.079,0.189,0.094,0.788,0.377,0.501,0.212,0.324,31701,47545,56
64129,0.037,0.124,0.07,0.138,0.934,0.159,0.054,0.12,0.063,0.87,0.589,0.385,0.13,0.186,46465,67280,30
64130,0.04,0.129,0.094,0.178,0.849,0.114,0.067,0.171,0.057,0.839,0.494,0.448,0.161,0.277,38976,52129,81
64131,0.03,0.133,0.085,0.153,0.905,0.385,0.064,0.14,0.06,0.889,0.674,0.329,0.111,0.12,59226,76640,33
64132,0.02,0.138,0.107,0.108,0.856,0.092,0.041,0.201,0.104,0.851,0.497,0.43,0.149,0.306,40095,48962,33
64133,0.034,0.132,0.073,0.189,0.925,0.231,0.083,0.149,0.038,0.873,0.675,0.306,0.127,0.107,64289,75093,46
64134,0.029,0.125,0.072,0.134,0.907,0.2,0.084,0.143,0.096,0.856,0.584,0.357,0.144,0.199,54766,66922,26
64136,0.031,0.202,0.108,0.271,0.954,0.422,0.094,0.105,0.051,0.92,0.674,0.293,0.08,0.162,50391,76681,2
64137,0.044,0.129,0.072,0.13,0.94,0.404,0.064,0.1,0.047,0.827,0.645,0.263,0.173,0.105,62746,73492,15
64138,0.022,0.113,0.088,0.139,0.933,0.217,0.078,0.145,0.045,0.866,0.674,0.324,0.134,0.148,53226,69700,24
64139,0.014,0.039,0.133,0.177,0.98,0.426,0.022,0.07,0.081,0.942,0.819,0.196,0.058,0.02,105957,127460,2
64145,0.038,0.084,0.146,0.148,0.976,0.587,0.072,0.173,0.028,0.92,0.762,0.32,0.08,0.048,93493,120748,5
64146,0.004,0.186,0.18,0.255,0.962,0.55,0.06,0.13,0,0.959,0.788,0.333,0.041,0.075,60313,78215,3
64147,0,0,0,0,0.832,0.058,0.029,0.184,0.469,0.904,0.225,0.678,0.096,0.817,2500,16896,2
